token_mint,launch_time,cohort_buyer_count,buyers_min0_1,buyers_min1_5,sniper_intensity_ratio,first_minute_share,size_diversity_ratio,manipulation_risk_score,mfe_multiple_15m,mfe_multiple_30m,median_realized_return_pct,wallets_that_exited,wallets_gt_25pct,buy_sol_0_35m,sell_sol_0_35m,is_tradeable_30m,is_clean_tradeable_30m
11QENak1qQpoYCZQTR45RnaKm8KaMtGRZditEMSdoge,2026-03-16T14:50:00,0,0,0,,,1,0,,,,0,0,0,0.243912334,0,0
11Ufay1ETNd3F2qs6cMn1Hd3NJYnEPoRgF3SiTDfBPk,2026-03-06T03:31:00,0,3,0,,1,0.333333333333333,2,,,,0,0,0.000623763,0.000603877,0,0
11mMsBwszvhEVxHUdPoNPyF7Gt7h6zorMiXfNB5ZmMr,2026-03-06T21:34:00,0,0,0,,,1,0,,,,0,0,0,1.862e-06,0,0
121YijT977bzwYGoUDh3ZyCnBZyWqhsqzBFSB37xny2D,2026-03-06T23:56:00,0,1,1,1,0.5,0.166666666666666,2,,,,0,0,0.004424522,0,0,0
121bjjRtRGP8PV98xGF4Fq1P1QRgmbeT5Q191DJnpump,2026-03-12T00:45:00,0,1,0,,1,1,2,,,,0,0,0.004,0,0,0
123evkMohRQw9X95RpyfM32m8MG6VCB72BhHBhmGpump,2026-03-04T18:13:00,0,1,0,,1,1,2,,,,0,0,0.000764533,0,0,0
124f82sK4NpzEcQbrNrPEDDUpL8XCdVGkegqGLpEpump,2026-03-04T02:15:00,0,0,0,,,1,0,,,,0,0,0,9.8347e-05,0,0
125FKUxLgRuVUkiJZoTvcNSuXhDJ8Hsaw8HBoreaSPL2,2026-03-07T04:37:00,0,0,0,,,1,0,,,,0,0,0,0.007896032,0,0
125GYmDa9oE5pk62pju83HqzjPQimgPAtKnzj6mGuu8,2026-03-11T21:51:00,1,1,1,1,0.5,0.5,1,,,,0,0,0.003,0,0,0
126R4E5J9FrDig2HZ7W3QG8RpGd3uq6vgfLihsjppump,2026-03-16T09:50:00,0,0,0,,,1,0,,,,0,0,0,0.010926392,0,0
127nxmPvkbJsHMU23Tz4gahbpyjmnQDQFTwaBwDDmZ9K,2026-03-04T01:45:00,0,0,0,,,1,0,,,,0,0,0,0.00266826,0,0
128B2yXx5EXXnL58kdS2ewRUsxWM6XB24mV4LBLvxnx3,2026-03-17T07:53:00,1,9,1,9,0.9,0.333333333333333,3,,,,0,0,0.125339199999999,0.123032781,0,0
12BuBxfm5BzB4wPhZvqMLzGtyyG5LUok9X9S5G9Lbonk,2026-03-13T15:23:00,0,0,0,,,1,0,,,,0,0,0,0.00979802,0,0
12DZCAB8JZFYzRwANop15SxNKcdKeMBPikwYad6Lpump,2026-03-16T16:18:00,0,0,0,,,1,0,,,,0,0,0,0.010436806,0,0
