token_mint,launch_time,cohort_buyer_count,buyers_min0_1,buyers_min1_5,sniper_intensity_ratio,first_minute_share,size_diversity_ratio,manipulation_risk_score,mfe_multiple_15m,mfe_multiple_30m,median_realized_return_pct,wallets_that_exited,wallets_gt_25pct,buy_sol_0_35m,sell_sol_0_35m,sell_trade_count_5to35m,sell_unique_traders_5to35m,is_tradeable_30m,is_clean_tradeable_30m
14hACq5xFZQSeuXj8ggsTu8SmrBeUKZT13kPHeeTboop,2026-03-27 23:59:28.000 UTC,0,1,0,0,1,1.00000000000000000,2,0,0,0,0,0,0.222436034,0,0,0,0,0
BrB9S2xNhXY49E6nYVo6xhNBV6xgw8GVMGSLnxVRv3J4,2026-03-27 23:55:25.000 UTC,0,0,0,0,0,0.50000000000000000,0,0,0,0,0,0,0,0.000304324,0,0,0,0
HNyN57Yo5F4iLm5zUAUsTQBERPMQ3D3sBwnH1YRjjMoo,2026-03-27 23:55:21.000 UTC,0,0,0,0,0,1.00000000000000000,0,0,0,0,0,0,0,0.002475503,0,0,0,0
DnL8Nu5rGzyJVBeZNjs4bJCxAXjhbbXLR1jEkX6G9Moo,2026-03-27 23:53:22.000 UTC,0,0,0,0,0,1.00000000000000000,0,0,0,0,0,0,0,0.002515224,0,0,0,0
4FJp1vTf4nvjCA22jveTwB9yrv5C9UZ5dVzopRtoheLp,2026-03-27 23:53:09.000 UTC,0,0,0,0,0,1.00000000000000000,0,0,0,0,0,0,0,3.4345e-05,0,0,0,0
eiu9KULXfswbCoZSQQLpTPnWRkvp1Fq3i8gRnsvpFPW,2026-03-27 23:51:33.000 UTC,0,0,0,0,0,1.00000000000000000,0,0,0,0,0,0,0,0.00067075,0,0,0,0
9WrbxEgQgQ6dLSdkY7Mz1asubsfshBKY8Etoez4cpump,2026-03-27 23:51:33.000 UTC,0,0,0,0,0,1.00000000000000000,0,0,0,0,0,0,0,0.000629052,0,0,0,0
9nCEhmGRqZwrjffVyESezzAMepnGTiaWGJJkWEbj8QEf,2026-03-27 23:51:33.000 UTC,0,0,0,0,0,1.00000000000000000,0,0,0,0,0,0,0,0.001293946,0,0,0,0
4zUmw6iTRhREKZLv1p7mLADrMHXG7XZ78h24fpsMmfQc,2026-03-27 23:51:32.000 UTC,0,0,0,0,0,1.00000000000000000,0,0,0,0,0,0,0,0.004107724,0,0,0,0
3PCmJBhXKfxyfDZeSgkg4ypzRRgwJoHg8KJ26BnKpump,2026-03-27 23:51:32.000 UTC,0,0,0,0,0,1.00000000000000000,0,0,0,0,0,0,0,0.01010065,0,0,0,0
